Id,QualificationId,FundingYearId,FundingValue,IsDeleted,CreatedBy,CreatedDate,LastUpdatedBy,LastUpdatedDate
1,1,12,120,0,,2019-07-09 10:34:06,,NULL
2,2,12,300,0,,2019-07-09 10:34:06,,NULL
3,3,12,300,0,,2019-07-09 10:34:06,,NULL
4,4,12,540,0,,2019-07-09 10:34:06,,NULL
5,5,12,300,0,,2019-07-09 10:34:06,,NULL
6,6,12,300,0,,2019-07-09 10:34:06,,NULL
7,7,12,300,0,,2019-07-09 10:34:06,,NULL
8,8,12,300,0,,2019-07-09 10:34:06,,NULL
9,9,12,120,0,,2019-07-09 10:34:06,,NULL
10,10,12,420,0,,2019-07-09 10:34:06,,NULL
11,11,12,300,0,,2019-07-09 10:34:06,,NULL
12,12,12,420,0,,2019-07-09 10:34:06,,NULL
13,13,12,300,0,,2019-07-09 10:34:06,,NULL
14,14,12,1300,0,,2019-07-09 10:34:06,,2019-11-18 17:00:26
15,15,12,120,0,,2019-07-09 10:34:06,,NULL
16,16,12,120,0,,2019-07-09 10:34:06,,NULL
17,17,12,120,0,,2019-07-09 10:34:06,,NULL
18,18,12,120,0,,2019-07-09 10:34:06,,NULL
19,19,12,120,0,,2019-07-09 10:34:06,,NULL
20,20,12,120,0,,2019-07-09 10:34:06,,NULL
21,21,12,120,0,,2019-07-09 10:34:06,,NULL
22,22,12,120,0,,2019-07-09 10:34:06,,NULL
23,23,12,120,0,,2019-07-09 10:34:06,,NULL
24,24,12,300,0,,2019-07-09 10:34:06,,NULL
25,25,12,300,0,,2019-07-09 10:34:06,,NULL
26,26,12,300,0,,2019-07-09 10:34:06,,NULL
27,27,12,300,0,,2019-07-09 10:34:06,,NULL
28,28,12,180,0,,2019-07-09 10:34:06,,NULL
29,29,12,180,0,,2019-07-09 10:34:06,,NULL
30,30,12,180,0,,2019-07-09 10:34:06,,NULL
31,31,12,180,0,,2019-07-09 10:34:06,,NULL
32,32,12,180,0,,2019-07-09 10:34:06,,NULL
33,33,12,180,0,,2019-07-09 10:34:06,,NULL
34,34,12,180,0,,2019-07-09 10:34:06,,NULL
35,35,12,420,0,,2019-07-09 10:34:06,,NULL
36,36,12,420,0,,2019-07-09 10:34:06,,NULL
37,37,12,420,0,,2019-07-09 10:34:06,,NULL
38,38,12,420,0,,2019-07-09 10:34:06,,NULL
39,39,12,420,0,,2019-07-09 10:34:06,,NULL
40,40,12,300,0,,2019-07-09 10:34:06,,NULL
41,41,12,300,0,,2019-07-09 10:34:06,,NULL
42,42,12,300,0,,2019-07-09 10:34:06,,NULL
43,43,12,300,0,,2019-07-09 10:34:06,,NULL
44,44,12,300,0,,2019-07-09 10:34:06,,NULL
45,45,12,300,0,,2019-07-09 10:34:06,,NULL
46,46,12,300,0,,2019-07-09 10:34:06,,NULL
47,47,12,300,0,,2019-07-09 10:34:06,,NULL
48,48,12,60,0,,2019-07-09 10:34:06,,NULL
49,49,12,60,0,,2019-07-09 10:34:06,,NULL
50,50,12,60,0,,2019-07-09 10:34:06,,NULL
51,51,12,60,0,,2019-07-09 10:34:06,,NULL
52,52,12,60,0,,2019-07-09 10:34:06,,NULL
53,53,12,60,0,,2019-07-09 10:34:06,,NULL
54,54,12,60,0,,2019-07-09 10:34:06,,NULL
55,55,12,180,0,,2019-07-09 10:34:06,,NULL
56,56,12,180,0,,2019-07-09 10:34:06,,NULL
57,57,12,180,0,,2019-07-09 10:34:06,,NULL
58,58,12,180,0,,2019-07-09 10:34:06,,NULL
59,59,12,180,0,,2019-07-09 10:34:06,,NULL
60,60,12,180,0,,2019-07-09 10:34:06,,NULL
61,61,12,420,0,,2019-07-09 10:34:06,,NULL
62,62,12,420,0,,2019-07-09 10:34:06,,NULL
